C_INT_id	C_ARR_modifier
26	"[{""typ"":""battle_attribute"",""id"":1,""val"":98,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":29,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":15,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
27	"[{""typ"":""battle_attribute"",""id"":1,""val"":101,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":30,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":15,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
28	"[{""typ"":""battle_attribute"",""id"":1,""val"":104,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":31,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":16,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
29	"[{""typ"":""battle_attribute"",""id"":1,""val"":107,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":32,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":16,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
30	"[{""typ"":""battle_attribute"",""id"":1,""val"":110,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":33,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":17,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
31	"[{""typ"":""battle_attribute"",""id"":1,""val"":113,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":34,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":17,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
32	"[{""typ"":""battle_attribute"",""id"":1,""val"":116,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":35,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":18,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
33	"[{""typ"":""battle_attribute"",""id"":1,""val"":119,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":36,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":18,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
34	"[{""typ"":""battle_attribute"",""id"":1,""val"":122,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":37,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":19,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
35	"[{""typ"":""battle_attribute"",""id"":1,""val"":125,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":38,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":19,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
36	"[{""typ"":""battle_attribute"",""id"":1,""val"":128,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":39,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":20,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
37	"[{""typ"":""battle_attribute"",""id"":1,""val"":131,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":40,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":20,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
38	"[{""typ"":""battle_attribute"",""id"":1,""val"":134,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":41,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":21,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
39	"[{""typ"":""battle_attribute"",""id"":1,""val"":137,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":42,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":21,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
40	"[{""typ"":""battle_attribute"",""id"":1,""val"":140,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":43,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":22,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
41	"[{""typ"":""battle_attribute"",""id"":1,""val"":143,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":44,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":22,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
42	"[{""typ"":""battle_attribute"",""id"":1,""val"":146,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":45,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":23,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
43	"[{""typ"":""battle_attribute"",""id"":1,""val"":149,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":46,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":23,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
44	"[{""typ"":""battle_attribute"",""id"":1,""val"":152,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":47,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":24,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
45	"[{""typ"":""battle_attribute"",""id"":1,""val"":155,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":48,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":24,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
46	"[{""typ"":""battle_attribute"",""id"":1,""val"":158,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":49,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":25,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
47	"[{""typ"":""battle_attribute"",""id"":1,""val"":161,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":50,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":25,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
48	"[{""typ"":""battle_attribute"",""id"":1,""val"":164,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":51,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":26,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
49	"[{""typ"":""battle_attribute"",""id"":1,""val"":167,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":52,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":26,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
50	"[{""typ"":""battle_attribute"",""id"":1,""val"":170,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":53,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":27,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
51	"[{""typ"":""battle_attribute"",""id"":1,""val"":173,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":54,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":27,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
52	"[{""typ"":""battle_attribute"",""id"":1,""val"":176,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":55,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":28,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
53	"[{""typ"":""battle_attribute"",""id"":1,""val"":179,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":56,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":28,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
54	"[{""typ"":""battle_attribute"",""id"":1,""val"":182,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":57,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":29,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
55	"[{""typ"":""battle_attribute"",""id"":1,""val"":185,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":58,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":29,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
56	"[{""typ"":""battle_attribute"",""id"":1,""val"":188,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":59,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":30,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
57	"[{""typ"":""battle_attribute"",""id"":1,""val"":191,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":60,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":30,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
58	"[{""typ"":""battle_attribute"",""id"":1,""val"":194,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":61,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":31,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
59	"[{""typ"":""battle_attribute"",""id"":1,""val"":197,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":62,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":31,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
60	"[{""typ"":""battle_attribute"",""id"":1,""val"":200,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":63,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":32,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
61	"[{""typ"":""battle_attribute"",""id"":1,""val"":203,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":64,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":32,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
62	"[{""typ"":""battle_attribute"",""id"":1,""val"":206,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":65,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":33,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
63	"[{""typ"":""battle_attribute"",""id"":1,""val"":209,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":66,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":33,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
64	"[{""typ"":""battle_attribute"",""id"":1,""val"":212,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":67,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":34,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
65	"[{""typ"":""battle_attribute"",""id"":1,""val"":215,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":68,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":34,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
66	"[{""typ"":""battle_attribute"",""id"":1,""val"":218,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":69,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":35,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
67	"[{""typ"":""battle_attribute"",""id"":1,""val"":221,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":70,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":35,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
68	"[{""typ"":""battle_attribute"",""id"":1,""val"":224,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":71,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":36,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
69	"[{""typ"":""battle_attribute"",""id"":1,""val"":227,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":72,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":36,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
70	"[{""typ"":""battle_attribute"",""id"":1,""val"":230,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":73,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":37,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
71	"[{""typ"":""battle_attribute"",""id"":1,""val"":233,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":74,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":37,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
72	"[{""typ"":""battle_attribute"",""id"":1,""val"":236,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":75,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":38,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
73	"[{""typ"":""battle_attribute"",""id"":1,""val"":239,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":76,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":38,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
74	"[{""typ"":""battle_attribute"",""id"":1,""val"":242,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":77,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":39,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
75	"[{""typ"":""battle_attribute"",""id"":1,""val"":245,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":78,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":39,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
76	"[{""typ"":""battle_attribute"",""id"":1,""val"":248,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":79,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":40,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
77	"[{""typ"":""battle_attribute"",""id"":1,""val"":251,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":80,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":40,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
78	"[{""typ"":""battle_attribute"",""id"":1,""val"":254,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":81,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":41,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
79	"[{""typ"":""battle_attribute"",""id"":1,""val"":257,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":82,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":41,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
80	"[{""typ"":""battle_attribute"",""id"":1,""val"":260,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":83,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":42,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
81	"[{""typ"":""battle_attribute"",""id"":1,""val"":263,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":84,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":42,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
82	"[{""typ"":""battle_attribute"",""id"":1,""val"":266,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":85,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":43,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
83	"[{""typ"":""battle_attribute"",""id"":1,""val"":269,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":86,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":43,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
84	"[{""typ"":""battle_attribute"",""id"":1,""val"":272,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":87,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":44,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
85	"[{""typ"":""battle_attribute"",""id"":1,""val"":275,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":88,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":44,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
86	"[{""typ"":""battle_attribute"",""id"":1,""val"":278,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":89,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":45,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
87	"[{""typ"":""battle_attribute"",""id"":1,""val"":281,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":90,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":45,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
88	"[{""typ"":""battle_attribute"",""id"":1,""val"":284,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":91,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":46,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
89	"[{""typ"":""battle_attribute"",""id"":1,""val"":287,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":92,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":46,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
90	"[{""typ"":""battle_attribute"",""id"":1,""val"":290,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":93,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":47,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":7,""pro"":0}]"
91	"[{""typ"":""battle_attribute"",""id"":1,""val"":293,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":94,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":47,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
92	"[{""typ"":""battle_attribute"",""id"":1,""val"":296,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":95,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":48,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":2,""pro"":0}]"
93	"[{""typ"":""battle_attribute"",""id"":1,""val"":299,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":96,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":48,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":3,""pro"":0}]"
94	"[{""typ"":""battle_attribute"",""id"":1,""val"":302,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":97,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":49,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":4,""pro"":0}]"
95	"[{""typ"":""battle_attribute"",""id"":1,""val"":305,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":98,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":49,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":5,""pro"":0}]"
96	"[{""typ"":""battle_attribute"",""id"":1,""val"":308,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":99,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":50,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":6,""pro"":0}]"
