C_INT_id	C_ARR_members
35	"[{""typ"":""battle_monster"",""id"":35,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":36,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":37,""val"":3,""pro"":0}]"
36	"[{""typ"":""battle_monster"",""id"":36,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":37,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":38,""val"":3,""pro"":0}]"
37	"[{""typ"":""battle_monster"",""id"":37,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":38,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":39,""val"":3,""pro"":0}]"
38	"[{""typ"":""battle_monster"",""id"":38,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":39,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":40,""val"":3,""pro"":0}]"
39	"[{""typ"":""battle_monster"",""id"":39,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":40,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":41,""val"":3,""pro"":0}]"
40	"[{""typ"":""battle_monster"",""id"":40,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":41,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":42,""val"":3,""pro"":0}]"
41	"[{""typ"":""battle_monster"",""id"":41,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":42,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":43,""val"":3,""pro"":0}]"
42	"[{""typ"":""battle_monster"",""id"":42,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":43,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":44,""val"":3,""pro"":0}]"
43	"[{""typ"":""battle_monster"",""id"":43,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":44,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":45,""val"":3,""pro"":0}]"
44	"[{""typ"":""battle_monster"",""id"":44,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":45,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":46,""val"":3,""pro"":0}]"
45	"[{""typ"":""battle_monster"",""id"":45,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":46,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":47,""val"":3,""pro"":0}]"
46	"[{""typ"":""battle_monster"",""id"":46,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":47,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":48,""val"":3,""pro"":0}]"
47	"[{""typ"":""battle_monster"",""id"":47,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":48,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":49,""val"":3,""pro"":0}]"
48	"[{""typ"":""battle_monster"",""id"":48,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":49,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":50,""val"":3,""pro"":0}]"
49	"[{""typ"":""battle_monster"",""id"":49,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":50,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":51,""val"":3,""pro"":0}]"
50	"[{""typ"":""battle_monster"",""id"":50,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":51,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":52,""val"":3,""pro"":0}]"
51	"[{""typ"":""battle_monster"",""id"":51,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":52,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":53,""val"":3,""pro"":0}]"
52	"[{""typ"":""battle_monster"",""id"":52,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":53,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":54,""val"":3,""pro"":0}]"
53	"[{""typ"":""battle_monster"",""id"":53,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":54,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":55,""val"":3,""pro"":0}]"
54	"[{""typ"":""battle_monster"",""id"":54,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":55,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":56,""val"":3,""pro"":0}]"
55	"[{""typ"":""battle_monster"",""id"":55,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":56,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":57,""val"":3,""pro"":0}]"
56	"[{""typ"":""battle_monster"",""id"":56,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":57,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":58,""val"":3,""pro"":0}]"
57	"[{""typ"":""battle_monster"",""id"":57,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":58,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":59,""val"":3,""pro"":0}]"
58	"[{""typ"":""battle_monster"",""id"":58,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":59,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":60,""val"":3,""pro"":0}]"
59	"[{""typ"":""battle_monster"",""id"":59,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":60,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":61,""val"":3,""pro"":0}]"
60	"[{""typ"":""battle_monster"",""id"":60,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":61,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":62,""val"":3,""pro"":0}]"
61	"[{""typ"":""battle_monster"",""id"":61,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":62,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":63,""val"":3,""pro"":0}]"
62	"[{""typ"":""battle_monster"",""id"":62,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":63,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":64,""val"":3,""pro"":0}]"
63	"[{""typ"":""battle_monster"",""id"":63,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":64,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":65,""val"":3,""pro"":0}]"
64	"[{""typ"":""battle_monster"",""id"":64,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":65,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":66,""val"":3,""pro"":0}]"
65	"[{""typ"":""battle_monster"",""id"":65,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":66,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":67,""val"":3,""pro"":0}]"
66	"[{""typ"":""battle_monster"",""id"":66,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":67,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":68,""val"":3,""pro"":0}]"
67	"[{""typ"":""battle_monster"",""id"":67,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":68,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":69,""val"":3,""pro"":0}]"
68	"[{""typ"":""battle_monster"",""id"":68,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":69,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":70,""val"":3,""pro"":0}]"
69	"[{""typ"":""battle_monster"",""id"":69,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":70,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":71,""val"":3,""pro"":0}]"
70	"[{""typ"":""battle_monster"",""id"":70,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":71,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":72,""val"":3,""pro"":0}]"
71	"[{""typ"":""battle_monster"",""id"":71,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":72,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":73,""val"":3,""pro"":0}]"
72	"[{""typ"":""battle_monster"",""id"":72,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":73,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":74,""val"":3,""pro"":0}]"
73	"[{""typ"":""battle_monster"",""id"":73,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":74,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":75,""val"":3,""pro"":0}]"
74	"[{""typ"":""battle_monster"",""id"":74,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":75,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":76,""val"":3,""pro"":0}]"
75	"[{""typ"":""battle_monster"",""id"":75,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":76,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":77,""val"":3,""pro"":0}]"
76	"[{""typ"":""battle_monster"",""id"":76,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":77,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":78,""val"":3,""pro"":0}]"
77	"[{""typ"":""battle_monster"",""id"":77,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":78,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":79,""val"":3,""pro"":0}]"
78	"[{""typ"":""battle_monster"",""id"":78,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":79,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":80,""val"":3,""pro"":0}]"
79	"[{""typ"":""battle_monster"",""id"":79,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":80,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":81,""val"":3,""pro"":0}]"
80	"[{""typ"":""battle_monster"",""id"":80,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":81,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":82,""val"":3,""pro"":0}]"
81	"[{""typ"":""battle_monster"",""id"":81,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":82,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":83,""val"":3,""pro"":0}]"
82	"[{""typ"":""battle_monster"",""id"":82,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":83,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":84,""val"":3,""pro"":0}]"
83	"[{""typ"":""battle_monster"",""id"":83,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":84,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":85,""val"":3,""pro"":0}]"
84	"[{""typ"":""battle_monster"",""id"":84,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":85,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":86,""val"":3,""pro"":0}]"
85	"[{""typ"":""battle_monster"",""id"":85,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":86,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":87,""val"":3,""pro"":0}]"
86	"[{""typ"":""battle_monster"",""id"":86,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":87,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":88,""val"":3,""pro"":0}]"
87	"[{""typ"":""battle_monster"",""id"":87,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":88,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":89,""val"":3,""pro"":0}]"
88	"[{""typ"":""battle_monster"",""id"":88,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":89,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":90,""val"":3,""pro"":0}]"
89	"[{""typ"":""battle_monster"",""id"":89,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":90,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":91,""val"":3,""pro"":0}]"
90	"[{""typ"":""battle_monster"",""id"":90,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":91,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":92,""val"":3,""pro"":0}]"
91	"[{""typ"":""battle_monster"",""id"":91,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":92,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":93,""val"":3,""pro"":0}]"
92	"[{""typ"":""battle_monster"",""id"":92,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":93,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":94,""val"":3,""pro"":0}]"
93	"[{""typ"":""battle_monster"",""id"":93,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":94,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":95,""val"":3,""pro"":0}]"
94	"[{""typ"":""battle_monster"",""id"":94,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":95,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":96,""val"":3,""pro"":0}]"
95	"[{""typ"":""battle_monster"",""id"":95,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":96,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":97,""val"":3,""pro"":0}]"
96	"[{""typ"":""battle_monster"",""id"":96,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":97,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":98,""val"":3,""pro"":0}]"
97	"[{""typ"":""battle_monster"",""id"":97,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":98,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":99,""val"":3,""pro"":0}]"
98	"[{""typ"":""battle_monster"",""id"":98,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":99,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":100,""val"":3,""pro"":0}]"
99	"[{""typ"":""battle_monster"",""id"":99,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":100,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":1,""val"":3,""pro"":0}]"
100	"[{""typ"":""battle_monster"",""id"":100,""val"":1,""pro"":0},{""typ"":""battle_monster"",""id"":1,""val"":2,""pro"":0},{""typ"":""battle_monster"",""id"":2,""val"":3,""pro"":0}]"
