C_INT_id	C_INT_kind	C_INT_duration_turns	C_LONG_potency	C_ARR_modifier
15	5	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":20,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":9,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
16	1	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
17	2	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
18	3	3	28	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
19	4	4	29	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
20	5	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":25,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":12,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
21	1	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
22	2	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
23	3	4	33	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
24	4	1	34	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
25	5	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":30,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":14,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
26	1	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
27	2	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
28	3	1	38	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
29	4	2	39	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
30	5	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":35,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":17,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
31	1	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
32	2	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
33	3	2	43	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
34	4	3	44	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
35	5	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":40,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":19,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
36	1	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
37	2	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
38	3	3	48	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
39	4	4	49	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
40	5	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":45,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":22,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
41	1	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
42	2	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
43	3	4	53	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
44	4	1	54	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
45	5	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":50,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":24,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
46	1	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
47	2	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
48	3	1	58	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
49	4	2	59	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
50	5	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":55,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":27,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
51	1	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
52	2	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
53	3	2	63	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
54	4	3	64	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
55	5	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":60,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":29,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
56	1	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
57	2	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
58	3	3	68	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
59	4	4	69	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
60	5	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":65,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":32,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
61	1	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
62	2	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
63	3	4	73	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
64	4	1	74	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
65	5	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":70,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":34,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
66	1	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
67	2	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
68	3	1	78	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
69	4	2	79	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
70	5	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":75,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":37,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
71	1	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
72	2	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
73	3	2	83	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
74	4	3	84	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
75	5	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":80,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":39,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
76	1	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
77	2	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
78	3	3	88	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
79	4	4	89	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
80	5	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":85,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":42,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
81	1	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
82	2	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
83	3	4	93	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
84	4	1	94	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
85	5	2	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":90,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":44,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
86	1	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
87	2	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
88	3	1	98	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
89	4	2	99	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
90	5	3	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":95,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":47,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":1,""pro"":0}]"
91	1	4	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
92	2	1	0	"[{""typ"":""battle_attribute"",""id"":1,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":2,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":3,""val"":0,""pro"":0},{""typ"":""battle_attribute"",""id"":4,""val"":0,""pro"":0}]"
