S_INT_id	A_INT_content_id	S_BOL_available	A_INT_tab	C_INT_new_tab	A_INT_type	A_INT_across_server_group	S_ARR_server_groups	S_INT_trigger_type	S_STR_trigger_val	S_BOL_reopen	S_STR_open_day_limit	S_STR_trigger_rept	S_STR_forecast_before_start	S_STR_duration	S_STR_close_after_end	S_INT_special_type	S_STR_special_val	S_INT_level_condition	S_INT_level_val
1000003	101	1	99	24	1	0	[]	2	0d	0	0h	0h	0h	7d	24h	0	0	0	0
1000109	406	1	99	24	4	0	[]	3	0h	0	0h	0h	0h	168h	24h	5	2025-11-14 00:00:00	0	1
1000022	30001	1	99	31	83	0	[]	3	0h	0	0h	0h	0h	7d	0h	5	2025-11-14 00:00:00	0	0
1011001	411	0	4	0	33	0	[]	2	28d	1	0h	28d	0h	7d	0h	0	0	0	0
1010001	401	1	99	8	33	0	[]	2	7d	0	0h	0h	0h	7d	0h	0	0	0	0
1010002	10001	1	99	8	37	0	[]	2	7d	0	0h	0h	0h	7d	0h	6	2026-06-19 00:00:00	0	0
1011002	10011	1	99	8	37	0	[]	2	7d	0	0h	0h	0h	7d	0h	5	2026-06-19 00:00:00	0	0
1010003	201	1	99	8	34	0	[]	2	7d	0	0h	0h	0h	7d	0h	6	2025-11-19 00:00:00	0	0
1011003	1201	1	99	8	34	0	[]	2	7d	0	0h	0h	0h	7d	0h	5	2025-11-19 00:00:00	0	0
1010004	2001	1	99	8	35	0	[]	2	7d	0	0h	0h	0h	7d	0h	5	2025-11-19 00:00:00	0	0
1010005	20001	1	99	8	5	0	[]	2	7d	0	0h	0h	0h	7d	0h	0	0	0	0
1010006	2001	1	99	8	18	0	[]	2	7d	0	0h	0h	0h	7d	0h	0	0	0	0
1010011	402	1	99	9	33	0	[]	1	2025-01-20 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010012	10002	1	99	9	37	0	[]	1	2025-01-20 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010013	202	1	99	9	34	0	[]	1	2025-01-20 00:00:00	0	42d	28d	0h	7d	0h	6	2025-10-19 00:00:00	0	0
1011013	1202	1	99	9	34	0	[]	1	2025-12-22 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010014	2011	1	99	9	35	0	[]	1	2025-01-20 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010015	20002	1	99	9	5	0	[]	1	2025-01-20 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010016	2001	1	99	9	18	0	[]	1	2025-01-20 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010101	411	1	99	10	33	0	[]	2	14d	0	0h	0h	0h	7d	0h	0	0	0	0
1010102	10101	1	99	10	37	0	[]	2	14d	0	0h	0h	0h	7d	0h	0	0	0	0
1010103	211	1	99	10	34	0	[]	2	14d	0	0h	0h	0h	7d	0h	6	2025-11-12 00:00:00	0	0
1011103	1211	1	99	10	34	0	[]	2	14d	0	0h	0h	0h	7d	0h	5	2025-11-12 00:00:00	0	0
1010104	2002	1	99	10	35	0	[]	2	14d	0	0h	0h	0h	7d	0h	5	2025-11-12 00:00:00	0	0
1010105	20011	1	99	10	5	0	[]	2	14d	0	0h	0h	0h	7d	0h	0	0	0	0
1010106	2002	1	99	10	18	0	[]	2	14d	0	0h	0h	0h	7d	0h	0	0	0	0
1010111	412	1	99	11	33	0	[]	1	2025-01-27 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010112	10102	1	99	11	37	0	[]	1	2025-01-27 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010113	212	0	99	11	34	0	[]	1	2025-01-27 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1011113	1212	1	99	11	34	0	[]	1	2025-01-27 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010114	2012	1	99	11	35	0	[]	1	2025-01-27 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010115	20012	1	99	11	5	0	[]	1	2025-01-27 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010116	2002	1	99	11	18	0	[]	1	2025-01-27 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010203	221	1	99	12	34	0	[]	2	28d	0	0h	0h	0h	7d	0h	6	2025-10-29 00:00:00	0	0
1010206	2003	1	99	12	18	0	[]	2	28d	0	0h	0h	0h	7d	0h	0	0	0	0
1010201	421	1	99	12	33	0	[]	2	28d	0	0h	0h	0h	7d	0h	6	2026-03-19 00:00:00	0	0
1010202	10201	1	99	12	37	0	[]	2	28d	0	0h	0h	0h	7d	0h	6	2026-03-19 00:00:00	0	0
1011203	1221	1	99	12	34	0	[]	2	28d	0	0h	0h	0h	7d	0h	6	2026-03-19 00:00:00	0	0
1010204	2003	1	99	12	35	0	[]	2	28d	0	0h	0h	0h	7d	0h	6	2026-03-19 00:00:00	0	0
1010205	20021	1	99	12	5	0	[]	2	28d	0	0h	0h	0h	7d	0h	6	2026-03-19 00:00:00	0	0
1012201	422	1	99	12	33	0	[]	2	28d	0	0h	0h	0h	7d	0h	5	2026-03-19 00:00:00	0	0
1012202	10202	1	99	12	37	0	[]	2	28d	0	0h	0h	0h	7d	0h	5	2026-03-19 00:00:00	0	0
1012203	1222	1	99	12	34	0	[]	2	28d	0	0h	0h	0h	7d	0h	5	2026-03-19 00:00:00	0	0
1012204	2023	1	99	12	35	0	[]	2	28d	0	0h	0h	0h	7d	0h	5	2026-03-19 00:00:00	0	0
1012205	20022	1	99	12	5	0	[]	2	28d	0	0h	0h	0h	7d	0h	5	2026-03-19 00:00:00	0	0
1010213	221	0	99	13	34	0	[]	1	2025-02-10 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010216	2003	1	99	13	18	0	[]	1	2025-02-10 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010211	422	1	99	13	33	0	[]	1	2025-02-10 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010212	10203	1	99	13	37	0	[]	1	2025-02-10 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1011213	1222	1	99	13	34	0	[]	1	2025-02-10 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010214	2013	1	99	13	35	0	[]	1	2025-02-10 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010215	20022	1	99	13	5	0	[]	1	2025-02-10 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010301	431	1	99	14	33	0	[]	2	21d	0	0h	0h	0h	7d	0h	0	0	0	0
1010302	10301	1	99	14	37	0	[]	2	21d	0	0h	0h	0h	7d	0h	0	0	0	0
1010303	231	1	99	14	34	0	[]	2	21d	0	0h	0h	0h	7d	0h	6	2025-11-05 00:00:00	0	0
1011303	1231	1	99	14	34	0	[]	2	21d	0	0h	0h	0h	7d	0h	5	2025-11-05 00:00:00	0	0
1010304	2004	1	99	14	35	0	[]	2	21d	0	0h	0h	0h	7d	0h	5	2025-11-05 00:00:00	0	0
1010305	20031	1	99	14	5	0	[]	2	21d	0	0h	0h	0h	7d	0h	0	0	0	0
1010306	2004	1	99	14	18	0	[]	2	21d	0	0h	0h	0h	7d	0h	0	0	0	0
1010311	431	1	99	15	33	0	[]	1	2025-02-03 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010312	10302	1	99	15	37	0	[]	1	2025-02-03 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010313	231	0	99	15	34	0	[]	1	2025-02-03 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1011313	1231	1	99	15	34	0	[]	1	2025-02-03 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010314	2014	1	99	15	35	0	[]	1	2025-02-03 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010315	20031	1	99	15	5	0	[]	1	2025-02-03 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010316	2004	1	99	15	18	0	[]	1	2025-02-03 00:00:00	1	42d	28d	0h	7d	0h	0	0	0	0
1010401	1327	1	99	30	59	0	[]	2	35d	0	0h	0h	0h	7d	0h	6	2026-03-12 00:00:00	0	0
1010411	1328	1	99	30	59	0	[]	2	35d	0	0h	0h	0h	7d	0h	5	2026-03-12 00:00:00	0	0
1010402	10401	1	99	30	37	0	[]	2	35d	0	0h	0h	0h	7d	0h	5	2025-09-07 00:00:00	0	0
1010403	241	1	99	30	34	0	[]	2	35d	0	0h	0h	0h	7d	0h	6	2025-10-22 00:00:00	0	0
1011403	1241	1	99	30	34	0	[]	2	35d	0	0h	0h	0h	7d	0h	5	2025-10-22 00:00:00	0	0
1010406	2005	1	99	30	35	0	[]	2	35d	0	0h	0h	0h	7d	0h	5	2025-10-22 00:00:00	0	0
1010404	23	1	99	30	53	0	[]	2	35d	0	0h	0h	0h	8d	0h	5	2025-09-07 00:00:00	0	0
1010405	2005	1	99	30	18	0	[]	2	35d	0	0h	0h	0h	7d	0h	5	2025-09-07 00:00:00	0	0
38000101	3001	1	99	16	38	0	[]	2	7d	0	0d	0h	0h	7d	0h	0	0	0	0
38000102	3002	1	99	17	38	0	[]	2	21d	0	0d	0h	0h	7d	0h	0	0	0	0
38000103	3003	1	99	18	38	0	[]	2	35d	0	0d	0h	0h	7d	0h	0	0	0	0
38000104	3004	1	99	19	38	0	[]	2	49d	0	0d	0h	0h	7d	0h	0	0	0	0
38000105	3005	1	99	20	38	0	[]	2	63d	0	0d	0h	0h	7d	0h	0	0	0	0
38000106	3006	1	99	21	38	0	[]	2	77d	0	0d	0h	0h	7d	0h	0	0	0	0
38000107	3007	1	99	22	38	0	[]	2	91d	0	0d	0h	0h	7d	0h	0	0	0	0
38000108	3008	1	99	23	38	0	[]	2	105d	0	0d	0h	0h	7d	0h	0	0	0	0
38000109	3009	1	99	26	38	0	[]	2	119d	0	0d	14d	0h	7d	0h	6	2025-05-26 00:00:00	0	0
38000110	3009	1	99	27	38	0	[]	4	2025-09-29 00:00:00	1	112d	14d	0h	7d	0h	0	0	0	0
3003000	20001	1	8	0	37	0	[]	3	7d	1	0h	7d	0h	7d	0h	0	0	0	0
3003001	20002	1	8	0	37	0	[]	3	0d	1	0h	7d	0h	7d	0h	0	0	0	0
1000012	101	1	99	16	70	0	[]	2	7d	0	0h	0h	0h	7d	0h	0	0	0	0
1000013	102	1	99	17	70	0	[]	2	21d	0	0h	0h	0h	7d	0h	0	0	0	0
1000014	103	1	99	18	70	0	[]	2	35d	0	0h	0h	0h	7d	0h	0	0	0	0
1000015	104	1	99	19	70	0	[]	2	49d	0	0h	0h	0h	7d	0h	0	0	0	0
1000016	105	1	99	20	70	0	[]	2	63d	0	0h	0h	0h	7d	0h	0	0	0	0
1000017	106	1	99	21	70	0	[]	2	77d	0	0h	0h	0h	7d	0h	0	0	0	0
1000018	107	1	99	22	70	0	[]	2	91d	0	0h	0h	0h	7d	0h	0	0	0	0
1000019	108	1	99	23	70	0	[]	2	105d	0	0h	0h	0h	7d	0h	0	0	0	0
31000101	0	0	4	0	30	0	[]	2	1d	0	0h	0h	0h	3600d	0h	0	0	0	0
33000001	130	0	4	0	34	0	[]	1	2023-09-18 00:00:00	1	7d	168h	0h	168h	0h	0	0	0	0
33000201	201	0	4	0	34	0	[]	2	14d	1	14d	28d	0h	7d	0h	0	0	0	0
33000202	202	0	4	0	34	0	[]	2	28d	1	28d	28d	0h	7d	0h	0	0	0	0
1050208	802	0	8	0	37	0	[]	3	42d	0	0h	0h	0h	7d	0h	0	0	0	0
1050209	802	0	8	0	37	0	[]	3	49d	0	0h	0h	0h	7d	0h	0	0	0	0
1050210	802	0	8	0	37	0	[]	3	56d	0	0h	0h	0h	7d	0h	0	0	0	0
1050211	802	0	8	0	37	0	[]	3	63d	0	0h	0h	0h	7d	0h	0	0	0	0
1050212	802	0	8	0	37	0	[]	3	70d	0	0h	0h	0h	7d	0h	0	0	0	0
1050213	802	0	8	0	37	0	[]	3	77d	0	0h	0h	0h	7d	0h	0	0	0	0
1050214	802	0	8	0	37	0	[]	3	84d	0	0h	0h	0h	7d	0h	0	0	0	0
1050215	802	0	8	0	37	0	[]	3	91d	0	0h	0h	0h	7d	0h	0	0	0	0
1050216	802	0	8	0	37	0	[]	3	98d	0	0h	0h	0h	7d	0h	0	0	0	0
1050217	802	0	8	0	37	0	[]	3	105d	0	0h	0h	0h	7d	0h	0	0	0	0
1050218	802	0	8	0	37	0	[]	3	112d	0	0h	0h	0h	7d	0h	0	0	0	0
1050219	802	0	8	0	37	0	[]	3	119d	0	0h	0h	0h	7d	0h	0	0	0	0
1050220	802	0	8	0	37	0	[]	3	126d	0	0h	0h	0h	7d	0h	0	0	0	0
1050221	802	0	8	0	37	0	[]	3	133d	0	0h	0h	0h	7d	0h	0	0	0	0
1050222	802	0	8	0	37	0	[]	3	140d	0	0h	0h	0h	7d	0h	0	0	0	0
1050223	803	0	8	0	37	0	[]	3	147d	1	0h	7d	0h	7d	0h	0	0	0	0
1100002	110	0	0	0	10	0	[]	10	28d	1	0h	7d	0d	1d	6d	0	0	1	1
22000002	105	0	0	0	1	0	[]	2	14d	0	0h	0h	0h	7d	24h	0	0	0	0
22000003	106	0	0	0	1	0	[]	2	28d	0	0h	0h	0h	7d	24h	0	0	0	0
22000004	107	0	0	0	1	0	[]	2	42d	0	0h	0h	0h	7d	24h	0	0	0	0
22000005	108	0	0	0	1	0	[]	2	56d	0	0h	0h	0h	7d	24h	0	0	0	0
1000005	301	0	0	0	3	0	[]	2	21d	0	0h	0h	10m	168h	24h	5	2023-12-28 00:00:00	0	0
1100006	403	0	0	0	13	0	[]	2	14d	0	0h	0h	0h	168h	24h	0	0	0	1
1100007	404	0	0	0	13	0	[]	2	28d	0	0h	0h	0h	168h	24h	0	0	0	1
1100008	405	0	0	0	13	0	[]	2	42d	0	0h	0h	0h	168h	24h	0	0	0	1
1090301	903	0	0	0	9	0	[]	2	9d	1	0h	14d	0h	48h	0h	0	0	1	1
1090302	1903	0	0	0	9	0	[]	2	14d	1	0h	14d	0h	72h	0h	0	0	1	1
1090901	909	0	0	0	9	0	[]	2	7d	1	0h	14d	0h	48h	0h	0	0	1	1
1090902	1909	0	0	0	9	0	[]	2	17d	1	0h	14d	0h	48h	0h	0	0	1	1
1091101	911	0	0	0	9	0	[]	2	7d	1	0h	14d	0h	72h	0h	0	0	1	1
1091102	1911	0	0	0	9	0	[]	2	14d	1	0h	14d	0h	4d	0h	0	0	1	1
1091302	913	0	0	0	9	0	[]	2	7d	1	0h	14d	0h	4d	0h	0	0	1	1
1091303	1913	0	0	0	9	0	[]	2	14d	1	0h	14d	0h	3d	0h	0	0	1	1
1090601	906	0	0	0	9	0	[]	2	10d	1	0h	7d	0h	48h	0h	0	0	1	1
1090701	907	0	0	0	9	0	[]	2	12d	1	0h	7d	0h	48h	0h	0	0	1	1
1091701	917	0	0	0	9	0	[]	2	11d	1	0h	14d	0h	72h	0h	0	0	1	1
4000002	4001	0	0	0	20	0	[]	1	2023-06-08 00:00:00	1	7d	7d	0h	1d	0h	0	0	1	1
1091201	912	0	0	0	9	0	[]	3	17d	1	0h	14d	0h	48h	0h	0	0	1	1
1090201	902	0	0	0	9	0	[]	3	0d	0	0h	0h	0h	72h	0h	0	0	1	1
1090401	904	0	0	0	9	0	[]	3	2d	0	0h	0h	0h	72h	0h	0	0	1	1
1090501	905	0	0	0	9	0	[]	3	3d	0	0h	0h	0h	72h	0h	0	0	1	1
1090801	908	0	0	0	9	0	[]	3	8d	0	0h	0h	0h	72h	0h	0	0	1	1
